id_gta,dt_emissao_gta,id_produtor_origem,id_produtor_destino,id_tipo_finalidade_gta,municipio_origem,estado_origem,municipio_destino,estado_destino,qt_animais,data_seconds,repeticao_origem,flag_binaria,qt_animais_norm,data_seconds_norm,cluster
2775310,2014-12-16 14:42:16.245,557370.0,447467,8,3170206,MG,3134202,MG,50,1418740936,0,0,0.39837398373983746,0.2033504786346816,0
1148141,2013-06-24 22:13:22.507,289600.0,447467,8,3170206,MG,3134202,MG,27,1372112002,0,0,0.21138211382113825,0.08600215702873504,0
14337163,2023-04-05 11:29:27.578,770202.0,447467,8,3131406,MG,3159803,MG,40,1680694167,0,0,0.3170731707317074,0.86259291375243,0
14337166,2023-04-05 11:30:04.231,770202.0,447467,8,3131406,MG,3159803,MG,45,1680694204,1,1,0.3577235772357724,0.8625930068681744,1
14337203,2023-04-05 11:37:20.506,770202.0,447467,8,3131406,MG,3159803,MG,30,1680694640,1,1,0.23577235772357727,0.8625941041239726,1
10414783,2020-09-01 12:22:09.604,645587.0,447467,30,3134202,MG,3159803,MG,54,1598962929,0,0,0.4308943089430895,0.6569046687225062,0
17114838,2024-10-16 15:27:21.089,694233.0,447467,8,3131406,MG,3159803,MG,55,1729092441,0,0,0.4390243902439025,0.9843940302550016,0
12092145,2021-10-11 16:27:55.893,447467.0,447467,8,3112604,MG,3159803,MG,55,1633969675,0,0,0.4390243902439025,0.7450041068950726,0
17114730,2024-10-16 15:19:38.450,694233.0,447467,8,3131406,MG,3159803,MG,50,1729091978,1,1,0.39837398373983746,0.9843928650498754,1
72061,2012-05-25 09:37:01.138,74724.0,447467,2,3134202,MG,3134202,MG,30,1337938621,0,0,0.23577235772357727,0.0,0
17114712,2024-10-16 15:18:27.507,694233.0,447467,8,3131406,MG,3159803,MG,50,1729091907,1,1,0.39837398373983746,0.9843926863683117,1
12092140,2021-10-11 16:26:43.133,447467.0,447467,8,3134202,MG,3159803,MG,57,1633969603,1,1,0.4552845528455285,0.7450039256968668,1
12092140,2021-10-11 16:26:43.133,447467.0,447467,8,3134202,MG,3159803,MG,55,1633969603,1,1,0.4390243902439025,0.7450039256968668,1
9139227,2019-10-14 13:48:18.466,694233.0,447467,18,3159803,MG,3134202,MG,46,1571060898,1,1,0.3658536585365854,0.5866852528712432,1
