id_gta;dt_emissao_gta;cod_produtor_origem;cod_produtor_destino;qtd;distancia_km;data_seconds
6211737;2017-09-15 08:43:07.588;67079;116949;284;103.85;1505464987
11614658;2021-06-16 08:12:09.641;310488;116949;232;103.85;1623831129
1374871;2013-09-04 08:59:57.521;118604;119353;267;0.0;1378285197
5204951;2016-12-07 09:29:34.062;77922;119353;103;495.05;1481102974
5253750;2016-12-20 15:53:01.167;471111;120246;50;103.79;1482249181
9110828;2019-10-07 15:13:55.343;3208822;120246;97;182.02;1570461235
13448575;2022-08-26 13:43:55.468;3199455;120246;18;235.47;1661521435
13157858;2022-06-24 13:52:13.005;121082;120742;170;0.0;1656078733
3098731;2015-04-06 10:49:29.531;30606;142068;60;468.62;1428317369
5559364;2017-03-24 13:52:14.989;462660;14243;504;72.15;1490363534
206520;2022-08-11 00:00:00.000;45726;14590;1;1082.43;1660176000
8391964;2019-04-24 09:10:40.003;14598;14598;777;95.71;1556097040
6690597;2018-02-01 08:29:46.667;14609;14609;98;71.98;1517473786
10555603;2020-10-05 15:11:40.546;3270240;147484;80;54.09;1601910700
10166910;2020-07-06 13:49:36.628;3177913;147484;36;397.72;1594043376
10353960;2020-08-18 09:52:12.887;20150;147484;24;633.51;1597744332
6349726;2017-10-24 08:40:25.030;151321;151321;161;0.0;1508834425
10215189;2020-07-16 11:08:50.961;20150;151321;90;730.7;1594897730
10024720;2020-06-03 13:37:17.868;3177913;151321;124;447.7;1591191437
8105213;2019-02-12 08:50:04.053;442694;152610;60;624.12;1549961404
8990439;2019-09-09 14:05:18.734;344572;152610;20;835.27;1568037918
4011139;2015-12-30 15:51:07.437;15288;15288;651;0.0;1451490667
16322633;2024-05-23 14:05:15.235;21773;15288;478;0.0;1716473115
7694215;2018-10-19 09:37:12.544;3137992;153948;170;898.15;1539941832
9918064;2020-04-30 18:17:41.682;3242297;154386;2;949.96;1588270661
858836;2013-03-26 10:24:05.187;117735;154386;106;846.9;1364293445
14232165;2023-03-14 13:28:29.022;16013;16013;439;0.0;1678800509
13517392;2022-09-13 12:06:14.034;16442;16442;350;0.0;1663070774
1408782;2013-09-16 16:09:47.024;16443;16443;514;0.0;1379347787
6557918;2017-12-22 13:14:38.555;117516;16443;400;374.2;1513948478
17877813;2025-03-11 15:02:09.083;164481;164481;130;0.0;1741705329
2800915;2014-12-23 13:59:17.310;16277;16506;354;0.0;1419343157
8856528;2019-08-08 08:21:54.501;3131555;167270;1380;52.13;1565252514
2034534;2014-04-24 10:11:41.543;15286;17035;628;0.0;1398334301
4522524;2016-05-18 11:07:36.312;17180;17180;761;176.83;1463569656
2832511;2015-01-08 15:48:53.002;17351;17281;370;0.0;1420732133
2175883;2014-06-05 14:33:43.780;17381;17381;700;943.55;1401978823
