id_gta_origem_outro_estado,dt_emissao_gta,id_produtor_origem,id_produtor_destino,id_tipo_finalidade_gta,municipio_origem,estado_origem,municipio_destino,estado_destino,qt_animais,distancia_km,duracao_min,data_seconds,repeticao_origem,flag_binaria,qt_animais_norm,data_seconds_norm,distancia_km_norm,cluster,tsne-2d-1,tsne-2d-2
45399,2016-06-21,8470,332899,3,SALES OLIVEIRA,SP,UBERABA,MG,21,126.3142,95.68166666666666,1466467200,0,0,1.0,1.0,0.0,0,-217.54477,226.83441
45399,2016-06-21,8470,332899,3,SALES OLIVEIRA,SP,UBERABA,MG,20,126.3142,95.68166666666666,1466467200,1,1,0.95,1.0,0.0,0,-211.34232,-181.20044
555,2012-05-06,26,332899,3,SALES OLIVEIRA,SP,UBERABA,MG,7,126.3142,95.68166666666666,1336262400,0,0,0.30000000000000004,0.002647253474520994,0.0,1,115.67887,13.214232
555,2012-05-06,26,332899,3,SALES OLIVEIRA,SP,UBERABA,MG,1,126.3142,95.68166666666666,1336262400,1,1,0.0,0.002647253474520994,0.0,1,302.71158,-32.475807
559,2012-05-02,26,332899,3,SALES OLIVEIRA,SP,UBERABA,MG,8,126.3142,95.68166666666666,1335916800,1,1,0.35000000000000003,0.0,0.0,1,-88.81507,41.15934
559,2012-05-02,26,332899,3,SALES OLIVEIRA,SP,UBERABA,MG,2,126.3142,95.68166666666666,1335916800,1,1,0.05,0.0,0.0,1,1.0537347,-144.8129
559,2012-05-02,26,332899,3,SALES OLIVEIRA,SP,UBERABA,MG,4,126.3142,95.68166666666666,1335916800,1,1,0.15000000000000002,0.0,0.0,1,204.57515,189.72655
559,2012-05-02,26,332899,3,SALES OLIVEIRA,SP,UBERABA,MG,1,126.3142,95.68166666666666,1335916800,1,1,0.0,0.0,0.0,1,5.7515297,253.8867
560,2012-05-03,26,332899,3,SALES OLIVEIRA,SP,UBERABA,MG,7,126.3142,95.68166666666666,1336003200,1,1,0.30000000000000004,0.0006618133686302485,0.0,1,183.67422,-221.29457
560,2012-05-03,26,332899,3,SALES OLIVEIRA,SP,UBERABA,MG,1,126.3142,95.68166666666666,1336003200,1,1,0.0,0.0006618133686302485,0.0,1,-40.317,-331.818
556,2012-05-02,26,332899,3,SALES OLIVEIRA,SP,UBERABA,MG,10,126.3142,95.68166666666666,1335916800,1,1,0.45,0.0,0.0,1,-314.8106,6.898025
556,2012-05-02,26,332899,3,SALES OLIVEIRA,SP,UBERABA,MG,8,126.3142,95.68166666666666,1335916800,1,1,0.35000000000000003,0.0,0.0,1,-88.81507,41.15934
